Glasser_RH_ROI,module
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,2
14,2
15,0
16,3
17,0
18,0
19,0
20,0
21,0
22,0
23,3
24,4
25,2
26,2
27,4
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,1
36,2
37,2
38,1
39,2
40,2
41,1
42,2
43,1
44,3
45,3
46,1
47,3
48,3
49,3
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,5
66,6
67,6
68,2
69,2
70,6
71,2
72,4
73,4
74,4
75,4
76,6
77,1
78,4
79,4
80,4
81,4
82,4
83,6
84,4
85,6
86,6
87,2
88,6
89,2
90,5
91,7
92,0
93,4
94,1
95,1
96,1
97,6
98,1
99,1
100,3
101,3
102,3
103,3
104,3
105,3
106,0
107,4
108,4
109,0
110,4
111,4
112,4
113,4
114,4
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,3
124,3
125,0
126,0
127,0
128,4
129,4
130,0
131,0
132,4
133,4
134,0
135,4
136,4
137,0
138,4
139,4
140,4
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,4
149,4
150,4
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,2
161,2
162,0
163,2
164,2
165,0
166,3
167,3
168,4
169,6
170,4
171,0
172,3
173,3
174,3
175,0
176,4
177,0
178,2
179,2
