method,mean_time,sd_time,method_caegory
Infomap,0.39542936212499996,0.08858113494165167,Infomap
SLPA,0.04300564395833333,0.006941179562367839,SLPA
OSLOM_10,14.397137469458333,6.652087827274421,OSLOM
OSLOM_20,14.184048017333334,6.493274935134826,OSLOM
OSLOM_30,14.136296987833333,6.391914909821136,OSLOM
OSLOM_40,14.001030430125,6.188809118224751,OSLOM
OSLOM_50,13.944615693708334,6.080880282618246,OSLOM
OSLOM_60,13.859771066916666,5.9196630410980235,OSLOM
OSLOM_70,13.791605397791667,5.8181542827124195,OSLOM
OSLOM_80,13.740521443958334,5.613944613171187,OSLOM
OSLOM_90,13.666935685958334,5.354736264278344,OSLOM
OSLOM_100,15.858690771208334,3.4891484176582344,OSLOM
Clique_3,0.9057274903333332,0.6295847764742215,Clique
Clique_4,0.8292999430833332,0.5590411256073456,Clique
Clique_5,0.806532959,0.5654644661454864,Clique
Clique_6,0.7802833517083333,0.4956461802333101,Clique
Clique_7,0.76297928375,0.4478767561310886,Clique
Clique_9,0.7371215826666667,0.36582233892817895,Clique
NNMF_10,1.1787563365833333,0.12070310954381344,NNMF
NNMF_20,1.1717657061666666,0.11544836156987784,NNMF
NNMF_30,1.1680850585416667,0.10332648667782462,NNMF
NNMF_40,1.1652996650833334,0.09791395923969821,NNMF
Louvain,0.002689142625,0.0020782602778537753,Louvain
